textsum % python -m scripts.train
Using device: mps
✅ Extracted sentences and adjacency matrices saved to data/processed/extracted_sentences.json
Training on 468 samples, validating on 52 samples
Sample 10, Loss: 0.1739
Sample 20, Loss: 0.1810
Sample 30, Loss: 0.0914
Sample 40, Loss: 0.1299
Sample 50, Loss: 0.1810
Sample 60, Loss: 0.1810
Sample 70, Loss: 0.1739
Sample 80, Loss: 0.1665
Sample 90, Loss: 0.1665
Sample 100, Loss: 0.1665
Sample 110, Loss: 0.1859
Sample 120, Loss: 0.0836
Sample 130, Loss: 0.1859
Sample 140, Loss: 0.1593
Sample 150, Loss: 0.1566
Sample 160, Loss: 0.1859
Sample 170, Loss: 0.1593
Sample 180, Loss: 0.1566
Sample 190, Loss: 0.1069
Sample 200, Loss: 0.0893
Sample 210, Loss: 0.1838
Sample 220, Loss: 0.1665
Sample 230, Loss: 0.1810
Sample 240, Loss: 0.1739
Sample 250, Loss: 0.1859
Sample 260, Loss: 0.1211
Sample 270, Loss: 0.1810
Sample 280, Loss: 0.1665
Sample 290, Loss: 0.1859
Sample 300, Loss: 0.1403
Sample 310, Loss: 0.1810
Sample 320, Loss: 0.1739
Sample 330, Loss: 0.1461
Sample 340, Loss: 0.1859
Sample 350, Loss: 0.0000
Sample 360, Loss: 0.0783
Sample 370, Loss: 0.1593
Sample 380, Loss: 0.1739
Sample 390, Loss: 0.1859
Sample 400, Loss: 0.1739
Sample 410, Loss: 0.1739
Sample 420, Loss: 0.1739
Sample 430, Loss: 0.1739
Sample 440, Loss: 0.1593
Sample 450, Loss: 0.1810
Sample 460, Loss: 0.1859
Epoch 18/50, Avg Train Loss: 0.1540
Validation Loss: 0.1606
No improvement in validation loss. Patience: 5/5
Early stopping triggered at epoch 18
